AUTHOR: (Begueria, Santiago)
null
Timespan=All years. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Influence of the Yesa reservoir on floods of the Aragon River, central Spanish Pyrenees","Lopez-Moreno, JI; Begueria, S; Garcia-Ruiz, JM","","","","HYDROLOGY AND EARTH SYSTEM SCIENCES","AUG 2002","2002","6","4","","","","753","762","","","","","25","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","1","3","3","4","5","1","1","0","0","0"
"Soil erosion and sediment delivery in a mountain catchment under scenarios of land use change using a spatially distributed numerical model","Alatorre, L. C.; Begueria, S.; Lana-Renault, N.; Navas, A.; Garcia-Ruiz, J. M.","","","","HYDROLOGY AND EARTH SYSTEM SCIENCES","2012","2012","16","5","","","","1321","1334","","10.5194/hess-16-1321-2012","","","24","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","8","5","2"
"The NAO Impact on Droughts in the Mediterranean Region","Vicente-Serrano, Sergio M.; Lopez-Moreno, Juan I.; Lorenzo-Lacruz, Jorge; El Kenawy, Ahmed; Azorin-Molina, Cesar; Moran-Tejeda, Enrique; Pasho, Edmond; Zabalza, Javier; Begueria, Santiago; Angulo-Martinez, Marta","","","VicenteSerrano, SM; Trigo, RM","HYDROLOGICAL, SOCIOECONOMIC AND ECOLOGICAL IMPACTS OF THE NORTH ATLANTIC OSCILLATION IN THE MEDITERRANEAN REGION","2011","2011","46","","","","","23","+","","10.1007/978-94-007-1372-7_3","Workshop on the Hydrological, Socioeconomic and Ecological Impacts of the NAO in the Mediterranean Area","MAY, 2010","23","3.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","6","9","4","0"
"A comparison of simultaneous autoregressive and generalized least squares models for dealing with spatial autocorrelation","Begueria, S.; Pueyo, Y.","","","","GLOBAL ECOLOGY AND BIOGEOGRAPHY","MAY 2009","2009","18","3","","","","273","279","","10.1111/j.1466-8238.2009.00446.x","","","23","2.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","5","2","1","4","5","2","0"
"Challenges for drought mitigation in Africa: The potential use of geospatial data and drought information systems","Vicente-Serrano, Sergio M.; Begueria, Santiago; Gimeno, Luis; Eklundh, Lars; Giuliani, Gregory; Weston, Derek; El Kenawy, Ahmed; Lopez-Moreno, Juan I.; Nieto, Raquel; Ayenew, Tenalem; Konte, Diawoye; Ardo, Jonas; Pegram, Geoffrey G. S.","","","","APPLIED GEOGRAPHY","MAY 2012","2012","34","","","","","471","486","","10.1016/j.apgeog.2012.02.001","","","20","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","3","6","0"
"Contribution of precipitation and reference evapotranspiration to drought indices under different climates","Vicente-Serrano, Sergio M.; Van der Schrier, Gerard; Begueria, Santiago; Azorin-Molina, Cesar; Lopez-Moreno, Juan-I.","","","","JOURNAL OF HYDROLOGY","JUL 2015","2015","526","","","","SI","42","54","","10.1016/j.jhydrol.2014.11.025","","","19","6.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","16","0"
"Stratified scree in the central Spanish Pyrenees: Palaeoenvironmental implications","Garcia-Ruiz, JM; Valero-Garces, B; Gonzalez-Samperiz, P; Lorente, A; Marti-Bono, C; Begueria, S; Edwards, L","","","","PERMAFROST AND PERIGLACIAL PROCESSES","JUL-SEP 2001","2001","12","3","","","","233","242","","10.1002/ppp.388","","","19","1.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","1","4","0","3","2","1","3","0"
"Different patterns of climate change scenarios for short-term and multi-day precipitation extremes in the Mediterranean","Kysely, Jan; Begueria, Santiago; Beranova, Romana; Gaal, Ladislav; Ignacio Lopez-Moreno, Juan","","","","GLOBAL AND PLANETARY CHANGE","DEC 2012","2012","98-99","","","","","63","72","","10.1016/j.gloplacha.2012.06.010","","","18","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","6","5","0"
"Land cover changes and shallow landsliding in the Spanish Pyrenees","Garcia-Ruiz, Jose M.; Begueria, Santiago; Carlos Alatorre, Luis; Puigdefabregas, Juan","","","","GEOMORPHOLOGY","DEC 15 2010","2010","124","3-4","","","SI","250","259","","10.1016/j.geomorph.2010.03.036","7th Regional Geomaorphology Conference of the International-Association-of-Geomorphologists on Recent Advances in Landslide Investigation","JUL, 2009","17","2.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","4","3","3","0"
"Hydrologic and landscape changes in the Middle Ebro River (NE Spain): implications for restoration and management","Cabezas, A.; Comin, F. A.; Begueria, S.; Trabucchi, M.","","","","HYDROLOGY AND EARTH SYSTEM SCIENCES","2009","2009","13","2","","","","273","284","","","","","17","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","2","4","2","2","0","0","0"
"Soil properties and physiographic factors controlling the natural vegetation re-growth in a disturbed catchment of the Central Spanish Pyrenees","Navas, Ana; Machin, Javier; Begueria, Santiago; Lopez-Vicente, Manuel; Gaspar, Leticia","","","","AGROFORESTRY SYSTEMS","MAR 2008","2008","72","3","","","","173","185","","10.1007/s10457-007-9085-2","","","17","1.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","2","3","1","2","4","0"
"Identifying erosion areas at basin scale using remote sensing data and GIS: a case study in a geologically complex mountain basin in the Spanish Pyrenees","Begueria, S.","","","","INTERNATIONAL JOURNAL OF REMOTE SENSING","OCT 20 2006","2006","27","20","","","","4585","4598","","10.1080/01431160600735640","","","17","1.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","3","1","0","3","2","0"
"Variability of snow depth at the plot scale: implications for mean depth estimation and sampling strategies","Lopez-Moreno, J. I.; Fassnacht, S. R.; Begueria, S.; Latron, J. B. P.","","","","CRYOSPHERE","2011","2011","5","3","","","","617","629","","10.5194/tc-5-617-2011","","","16","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","8","0"
"A meta-analysis of soil erosion rates across the world","Garcia-Ruiz, Jose M.; Begueria, Santiago; Nadal-Romero, Estela; Gonzalez-Hidalgo, Jose C.; Lana-Renault, Noemi; Sanjuan, Yasmina","","","","GEOMORPHOLOGY","JUN 15 2015","2015","239","","","","","160","173","","10.1016/j.geomorph.2015.03.008","","","15","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","2"
"Drought Variability and Land Degradation in Semiarid Regions: Assessment Using Remote Sensing Data and Drought Indices (1982-2011)","Vicente-Serrano, Sergio M.; Cabello, Daniel; Tomas-Burguera, Miquel; Martin-Hernandez, Natalia; Begueria, Santiago; Azorin-Molina, Cesar; El Kenawy, Ahmed","","","","REMOTE SENSING","APR 2015","2015","7","4","","","","4391","4423","","10.3390/rs70404391","","","14","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0"
"Identification of Mangrove Areas by Remote Sensing: The ROC Curve Technique Applied to the Northwestern Mexico Coastal Zone Using Landsat Imagery","Alatorre, Luis C.; Sanchez-Andres, Raquel; Cirujano, Santos; Begueria, Santiago; Sanchez-Carrillo, Salvador","","","","REMOTE SENSING","AUG 2011","2011","3","8","","","","1568","1583","","10.3390/rs3081568","","","13","1.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","3","0"
"AN EXCEPTIONAL RAINFALL EVENT IN THE CENTRAL WESTERN PYRENEES: SPATIAL PATTERNS IN DISCHARGE AND IMPACT","Pilar Serrano-Muela, Maria; Nadal-Romero, Estela; Lana-Renault, Noemi; Carlos Gonzalez-Hidalgo, Jose; Ignacio Lopez-Moreno, Juan; Begueria, Santiago; Sanjuan, Yasmina; Maria Garcia-Ruiz, Jose","","","","LAND DEGRADATION & DEVELOPMENT","APR 2015","2015","26","3","","","","249","262","","10.1002/ldr.2221","","","12","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","1"
"Splash erosion under natural rainfall on three soil types in NE Spain","Angulo-Martinez, M.; Begueria, S.; Navas, A.; Machin, J.","","","","GEOMORPHOLOGY","NOV 15 2012","2012","175","","","","","38","44","","10.1016/j.geomorph.2012.06.016","","","10","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","5","0"
"Do atmospheric teleconnection patterns influence rainfall erosivity? A study of NAO, MO and WeMO in NE Spain, 1955-2006","Angulo-Martinez, Marta; Begueria, Santiago","","","","JOURNAL OF HYDROLOGY","JUL 11 2012","2012","450","","","","","168","179","","10.1016/j.jhydrol.2012.04.063","","","8","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","2","2","0"
"Detachment of soil organic carbon by rainfall splash: Experimental assessment on three agricultural soils of Spain","Begueria, Santiago; Angulo-Martinez, Marta; Gaspar, Leticia; Navas, Ana","","","","GEODERMA","MAY 2015","2015","245","","","","","21","30","","10.1016/j.geoderma.2015.01.010","","","7","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"Evolution of vegetation activity on vegetated, eroded, and erosion risk areas in the central Spanish Pyrenees, using multitemporal Landsat imagery","Alatorre, L. C.; Begueria, S.; Vicente-Serrano, S.","","","","EARTH SURFACE PROCESSES AND LANDFORMS","MAR 2011","2011","36","3","","","","309","319","","10.1002/esp.2038","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0"
"Modeling the spatial distribution of soil properties by generalized least squares regression: Toward a general theory of spatial variates","Begueria, S.; Spanu, V.; Navas, A.; Machin, J.; Angulo-Martinez, M.","","","","JOURNAL OF SOIL AND WATER CONSERVATION","MAY-JUN 2013","2013","68","3","","","","172","184","","10.2489/jswc.68.3.172","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0"
"Trends in rainfall erosivity in NE Spain at annual, seasonal and daily scales, 1955-2006","Angulo-Martinez, M.; Begueria, S.","","","","HYDROLOGY AND EARTH SYSTEM SCIENCES","2012","2012","16","10","","","","3551","3559","","10.5194/hess-16-3551-2012","","","5","0.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0"
"Monthly Rainfall Erosivity: Conversion Factors for Different Time Resolutions and Regional Assessments","Panagos, Panos; Borrelli, Pasquale; Spinoni, Jonathan; Ballabio, Cristiano; Meusburger, Katrin; Begueria, Santiago; Klik, Andreas; Michaelides, Silas; Petan, Saso; Hrabalikova, Michaela; Olsen, Preben; Aalto, Juha; Lakatos, Monika; Rymszewicz, Anna; Dumitrescu, Alexandru; Tadic, Melita Percec; Diodato, Nazzareno; Kostalova, Julia; Rousseva, Svetla; Banasik, Kazimierz; Alewell, Christine","","","","WATER","APR 2016","2016","8","4","","","","","","119","10.3390/w8040119","","","4","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Recent and intense dynamics in a formerly static Pyrenean treeline","Julio Camarero, J.; Maria Garcia-Ruiz, Jose; Sanguesa-Barreda, Gabriel; Galvan, Juan Diego; Alla, Arben Q.; Sanjuan, Yasmina; Begueria, Santiago; Gutierrez, Emilia","","","","ARCTIC ANTARCTIC AND ALPINE RESEARCH","NOV 2015","2015","47","4","","","","773","783","","10.1657/AAAR0015-001","","","4","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0"
"Reply to the comment on "Rainfall erosivity in Europe" by Auerswald et al.","Panagos, Panos; Meusburger, Katrin; Ballabio, Cristiano; Borrelli, Pasquale; Begueria, Santiago; Klik, Andreas; Rymszewicz, Anna; Michaelides, Silas; Olsen, Preben; Tadic, Melita Percec; Aalto, Juha; Lakatos, Monika; Dumitrescu, Alexandru; Rousseva, Svetla; Montanarella, Luca; Alewell, Christine","","","","SCIENCE OF THE TOTAL ENVIRONMENT","NOV 1 2015","2015","532","","","","","853","857","","10.1016/j.scitotenv.2015.05.020","","","4","1.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"Comparison of regression techniques for mapping fog frequency: application to the Aragon region (northeast Spain)","Vicente-Serrano, S. M.; Lopez-Moreno, J. I.; Vega-Rodriguez, M. I.; Begueria, S.; Cuadrat, Jose M.","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","MAY 2010","2010","30","6","","","","935","945","","10.1002/joc.1935","","","4","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0"
